,Unnamed: 0,Content ID,Type,Datetime
0,1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07 November 2020
1,2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17 June 2021
2,3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18 April 2021
3,4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06 January 2021
4,5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23 August 2020
5,6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07 December 2020
6,7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11 April 2021
7,8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27 January 2021
8,9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01 April 2021
9,10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04 August 2020
10,11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07 November 2020
11,12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02 November 2020
12,13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01 November 2020
13,14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07 October 2020
14,15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03 September 2020
15,16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24 February 2021
16,17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23 September 2020
17,18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24 February 2021
18,19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22 May 2021
19,20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31 January 2021
20,21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20 November 2020
21,22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11 April 2021
22,23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13 June 2021
23,24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11 April 2021
24,25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02 March 2021
